ticker,industry,run_time
VCA,basic_resources,2024-06-19 01:07:47
MVB,basic_resources,2024-06-19 01:07:47
TVD,basic_resources,2024-06-19 01:07:47
BMJ,basic_resources,2024-06-19 01:07:47
TDN,basic_resources,2024-06-19 01:07:47
TC6,basic_resources,2024-06-19 01:07:47
TDS,basic_resources,2024-06-19 01:07:47
CLM,basic_resources,2024-06-19 01:07:47
KSQ,basic_resources,2024-06-19 01:07:47
RRC,basic_resources,2024-06-19 01:07:47
KMT,basic_resources,2024-06-19 01:07:47
DTL,basic_resources,2024-06-19 01:07:47
FRC,basic_resources,2024-06-19 01:07:47
LTQ,basic_resources,2024-06-19 01:07:47
MIM,basic_resources,2024-06-19 01:07:47
TND,basic_resources,2024-06-19 01:07:47
TNI,basic_resources,2024-06-19 01:07:47
VIM,basic_resources,2024-06-19 01:07:47
CAP,basic_resources,2024-06-19 01:07:47
ACM,basic_resources,2024-06-19 01:07:47
NKG,basic_resources,2024-06-19 01:07:47
SPI,basic_resources,2024-06-19 01:07:47
TTF,basic_resources,2024-06-19 01:07:47
HSG,basic_resources,2024-06-19 01:07:47
ITQ,basic_resources,2024-06-19 01:07:47
VBG,basic_resources,2024-06-19 01:07:47
DHC,basic_resources,2024-06-19 01:07:47
DPS,basic_resources,2024-06-19 01:07:47
GLC,basic_resources,2024-06-19 01:07:47
MMC,basic_resources,2024-06-19 01:07:47
MDF,basic_resources,2024-06-19 01:07:47
MHL,basic_resources,2024-06-19 01:07:47
MIC,basic_resources,2024-06-19 01:07:47
MC3,basic_resources,2024-06-19 01:07:47
NBC,basic_resources,2024-06-19 01:07:47
MSR,basic_resources,2024-06-19 01:07:47
TLH,basic_resources,2024-06-19 01:07:47
THT,basic_resources,2024-06-19 01:07:47
MXC,basic_resources,2024-06-19 01:07:47
BKC,basic_resources,2024-06-19 01:07:47
BCB,basic_resources,2024-06-19 01:07:47
AMC,basic_resources,2024-06-19 01:07:47
ACG,basic_resources,2024-06-19 01:07:47
PAS,basic_resources,2024-06-19 01:07:47
SSM,basic_resources,2024-06-19 01:07:47
VGS,basic_resources,2024-06-19 01:07:47
HUX,basic_resources,2024-06-19 01:07:47
DLG,basic_resources,2024-06-19 01:07:47
DNY,basic_resources,2024-06-19 01:07:47
AFC,basic_resources,2024-06-19 01:07:47
HAP,basic_resources,2024-06-19 01:07:47
HMG,basic_resources,2024-06-19 01:07:47
KNA,basic_resources,2024-06-19 01:07:47
TNA,basic_resources,2024-06-19 01:07:47
TNB,basic_resources,2024-06-19 01:07:47
TNT,basic_resources,2024-06-19 01:07:47
VID,basic_resources,2024-06-19 01:07:47
PIS,basic_resources,2024-06-19 01:07:47
KCB,basic_resources,2024-06-19 01:07:47
BMC,basic_resources,2024-06-19 01:07:47
SHN,basic_resources,2024-06-19 01:07:47
DFC,basic_resources,2024-06-19 01:07:47
VDB,basic_resources,2024-06-19 01:07:47
SQC,basic_resources,2024-06-19 01:07:47
TVN,basic_resources,2024-06-19 01:07:47
HPM,basic_resources,2024-06-19 01:07:47
MTM,basic_resources,2024-06-19 01:07:47
KTB,basic_resources,2024-06-19 01:07:47
KTL,basic_resources,2024-06-19 01:07:47
HGM,basic_resources,2024-06-19 01:07:47
